A-01,babab,031027102271,1,385,2023-06-10
A-09,dadadada,031027102261,1,385,2023-06-10
A-10,harvey,031021121212,5,1925,2023-06-11
A-10,harvey,031021121212,5,1925,2023-06-15
A-10,harvey,031021121212,5,1925,2023-06-23
A-01,YongSiongYue,031027102261,1,385,2023-06-27
A-07,YipZhiHong,031010101010,1,385,2023-06-27
A-09,ChaiZhengLam,031027102261,1,385,2023-06-27
A-10,ChanKaWai,031027101010,1,385,2023-06-27
A-03,Potato,010101010101,3,1155,2023-06-27
A-05,WongWeiTing,031010101010,1,385,2023-06-27
A-01,YongSiongYue,031027102261,1,385,2023-06-27
A-03,Potato,010101010101,3,1155,2023-06-27
A-09,ChaiZhengLam,031027102261,1,385,2023-06-27
A-07,YipZhiHong,031010101010,1,385,2023-06-27
A-05,WongWeiTing,031010101010,1,385,2023-06-27
A-10,ChanKaWai,031027101010,1,385,2023-06-27
A-07,YipZhiHong,031010101010,1,385,2023-06-27
A-01,YongSiongYue,031027102261,1,385,2023-06-27
A-03,Potato,010101010101,3,1155,2023-06-27
A-09,ChaiZhengLam,031027102261,1,385,2023-06-27
A-05,WongWeiTing,031010101010,1,385,2023-06-27
A-10,ChanKaWai,031027101010,1,385,2023-06-27
A-07,YipZhiHong,031027102261,2,770,2023-06-27
