A-03,daddad,031027102271,dadadad@gmail.com,0191231234,2023-06-08,2023-06-08,2023-06-09,2:00,1:00,1,350,Checked Out,Test
A-01,po,031027102261,po@gmail.com,0198765432,2023-06-09,2023-06-09,2023-06-10,1:00,2:00,1,350,Checked Out,Test
A-03,dad,031027102261,ts@gmail.com,0198765432,2023-06-10,2023-06-10,2023-06-11,2:00,2:00,1,350,Checked Out,java
A-01,babab,031027102271,dad@gmail.com,0198765432,2023-06-10,2023-06-10,2023-06-11,4:00,2:00,1,350,Checked Out,Test
A-09,dadadada,031027102261,dad@gmail.com,0198765432,2023-06-10,2023-06-10,2023-06-11,1:00,2:00,1,350,Checked Out,Test
A-10,harvey,031021121212,h@gmail.com,0198765432,2023-06-11,2023-06-11,2023-06-16,1:00,3:00,5,1750,Checked Out,java
A-01,YongSiongYue,031027102261,yongsy@gmail.com,0182809322,2023-06-23,2023-06-23,2023-06-24,15:00,15:00,1,350,Checked Out,java
A-07,YipZhiHong,031010101010,yzh@gmail.com,0182809322,2023-06-23,2023-06-23,2023-06-24,15:00,15:00,1,350,Checked Out,java
A-09,ChaiZhengLam,031027102261,czl@gmail.com,0198765432,2023-06-23,2023-06-23,2023-06-24,1:00,2:00,1,350,Checked Out,java
A-05,WongWeiTing,031010101010,wwt@gmail.com,0182809322,2023-06-23,2023-06-23,2023-06-24,2:00,3:00,1,350,Checked Out,java
A-10,ChanKaWai,031027101010,ckw@gmail.com,0182809322,2023-06-23,2023-06-23,2023-06-23,4:00,3:00,1,350,Checked Out,java
A-03,Potato,010101010101,potato@gmail.com,0182809322,2023-06-23,2023-06-23,2023-06-26,1:00,1:00,3,1050,Checked Out,java
A-20,YongSiongYue,031027102261,yongsy@gmail.com,0182809322,2023-06-27,2023-06-27,2023-06-28,3:00,2:00,1,350,Checked In,java
A-07,YipZhiHong,031027102261,yzh@gmail.com,0182809322,2023-06-27,2023-06-27,2023-06-29,1:00,1:00,2,700,Checked Out,java
A-05,Rogeg,031027102261,rogeng@gmail.com,0198765432,2023-06-27,2023-06-28,2023-07-04,3:00,0:00,6,2100,Not Checked In,java
A-01,ysy,031027102261,ysy@gmail.com,0182809322,2023-06-27,2023-06-27,2023-06-27,1:00,2:00,1,350,Checked In,java
